Brand,Model,Screen Size,Height (mm),Width (mm),Depth (mm),Weight (g),Release Date,USB Type,Lightning,SIM Slots,SD Slot,Max SD Size,Battery Capacity (mAh),Battery Type,Fast Charging
Apple,iPhone 15 Pro Max,6.7",159.9,76.7,8.25,221,2023-09-22,USB-C,No,2,No,N/A,4422,Li-Ion,Yes (27W)
Apple,iPhone 14,6.1",146.7,71.5,7.8,172,2022-09-16,Lightning,Yes,2,No,N/A,3279,Li-Ion,Yes (20W)
Samsung,Galaxy S24 Ultra,6.8",162.3,79.0,8.6,232,2024-01-24,USB-C,No,2,No,N/A,5000,Li-Ion,Yes (45W)
Samsung,Galaxy S23,6.1",146.3,70.9,7.6,168,2023-02-17,USB-C,No,2,No,N/A,3900,Li-Ion,Yes (25W)
Samsung,Galaxy A54 5G,6.4",158.2,76.7,8.2,202,2023-03-24,USB-C,No,2,Yes,1TB,5000,Li-Ion,Yes (25W)
Google,Pixel 8 Pro,6.7",162.6,76.5,8.8,213,2023-10-12,USB-C,No,2,No,N/A,5050,Li-Ion,Yes (30W)
Google,Pixel 7a,6.1",152.0,72.9,9.0,193,2023-05-10,USB-C,No,2,No,N/A,4385,Li-Ion,Yes (18W)
Xiaomi,14 Pro,6.73",161.4,74.6,8.49,223,2024-02-25,USB-C,No,2,No,N/A,4880,Li-Po,Yes (120W)
Xiaomi,Redmi Note 13 Pro,6.67",161.2,74.2,8.0,187,2023-09-21,USB-C,No,2,Yes,1TB,5100,Li-Po,Yes (67W)
OnePlus,12,6.82",164.3,75.8,9.15,220,2024-01-23,USB-C,No,2,No,N/A,5400,Li-Po,Yes (100W)
OnePlus,Nord 3,6.74",162.6,75.1,8.2,195,2023-07-05,USB-C,No,2,No,N/A,5000,Li-Po,Yes (80W)
Motorola,Edge 40 Pro,6.67",161.2,74.0,8.6,199,2023-04-04,USB-C,No,2,No,N/A,4600,Li-Po,Yes (125W)
Sony,Xperia 1 V,6.5",165.0,71.0,8.3,187,2023-06-16,USB-C,No,2,Yes,1TB,5000,Li-Po,Yes (30W)
Oppo,Find X6 Pro,6.82",164.8,76.2,9.1,218,2023-03-21,USB-C,No,2,No,N/A,5000,Li-Po,Yes (100W)
Vivo,X100 Pro,6.78",164.1,75.3,8.91,225,2023-11-13,USB-C,No,2,No,N/A,5400,Li-Po,Yes (100W)
Realme,GT 5 Pro,6.78",161.7,75.1,9.2,218,2023-12-07,USB-C,No,2,No,N/A,5400,Li-Po,Yes (100W)
Nokia,XR21,6.49",168.9,81.5,10.5,231,2023-05-09,USB-C,No,2,Yes,512GB,4800,Li-Po,Yes (33W)
Asus,ROG Phone 7,6.78",173.0,77.0,10.3,239,2023-04-13,USB-C,No,2,No,N/A,6000,Li-Po,Yes (65W)
Nothing,Phone (2),6.7",162.1,76.4,8.6,201,2023-07-11,USB-C,No,2,No,N/A,4700,Li-Po,Yes (45W)
Honor,Magic 6 Pro,6.8",162.5,75.8,8.9,225,2024-01-11,USB-C,No,2,No,N/A,5600,Li-Po,Yes (80W)
